t_start,t_end,status
1786211978,1786211978,ok
1786211978,1786211978,ok
1786211978,1786211979,ok
1786211979,1786211979,ok
1786211979,1786211979,ok
1786211979,1786211979,ok
1786211979,1786211979,ok
1786211979,1786211979,ok
1786211979,1786211979,ok
1786211980,1786211980,ok
1786211980,1786211980,ok
1786211980,1786211980,ok
1786211980,1786211980,ok
1786211980,1786211980,ok
1786211980,1786211980,ok
1786211981,1786211981,ok
1786211981,1786211981,ok
1786211981,1786211981,ok
1786211981,1786211981,ok
1786211981,1786211981,ok
1786211981,1786211981,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211982,1786211982,ok
1786211983,1786211983,ok
1786211983,1786211983,ok
1786211983,1786211983,ok
1786211983,1786211983,ok
1786211983,1786211983,ok
1786211983,1786211983,ok
1786211984,1786211984,ok
1786211984,1786211984,ok
1786211984,1786211984,ok
1786211984,1786211984,ok
1786211984,1786211984,ok
1786211984,1786211984,ok
1786211984,1786211985,ok
1786211985,1786211985,ok
1786211985,1786211985,ok
1786211985,1786211985,ok
1786211985,1786211985,ok
1786211985,1786211985,ok
1786211985,1786211985,ok
1786211986,1786211986,ok
1786211986,1786211986,ok
1786211986,1786211986,ok
1786211986,1786211986,ok
1786211986,1786211986,ok
1786211986,1786211986,ok
1786211987,1786211987,ok
1786211987,1786211987,ok
1786211987,1786211987,ok
1786211987,1786211987,ok
1786211987,1786211987,ok
1786211987,1786211987,ok
1786211987,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211988,ok
1786211988,1786211989,ok
1786211989,1786211989,ok
1786211989,1786211989,ok
1786211989,1786211989,ok
1786211989,1786211989,ok
1786211989,1786211989,ok
1786211989,1786211990,ok
1786211990,1786211990,ok
1786211990,1786211990,ok
1786211990,1786211990,ok
1786211990,1786211990,ok
1786211990,1786211990,ok
1786211990,1786211991,ok
1786211991,1786211992,ok
1786211992,1786211992,ok
1786211992,1786211993,ok
1786211993,1786211994,ok
1786211994,1786211994,ok
1786211994,1786211995,ok
1786211995,1786211996,ok
1786211996,1786211996,ok
1786211996,1786211997,ok
1786211997,1786211998,ok
1786211998,1786211998,ok
1786211999,1786211999,ok
1786211999,1786212000,ok
1786212000,1786212000,ok
1786212000,1786212001,ok
1786212001,1786212002,ok
1786212002,1786212002,ok
1786212002,1786212003,ok
1786212003,1786212004,ok
1786212004,1786212004,ok
1786212005,1786212005,ok
1786212005,1786212006,ok
1786212006,1786212008,ok
1786212008,1786212010,fail
1786212010,1786212012,ok
