timestamp,instance,is_in_recovery,lsn
1786250723,pg-cnpg-1,t,0/96027070
1786250723,pg-cnpg-2,f,0/96027070
1786250723,pg-cnpg-3,t,0/96027070
1786250723,pg-cnpg-1,t,0/96027070
1786250723,pg-cnpg-2,f,0/96027070
1786250723,pg-cnpg-3,t,0/96027070
1786250723,pg-cnpg-1,t,0/96027070
1786250723,pg-cnpg-2,f,0/96027070
1786250723,pg-cnpg-3,t,0/96027070
1786250724,pg-cnpg-1,t,0/96027070
1786250724,pg-cnpg-2,f,0/96027128
1786250724,pg-cnpg-3,t,0/96027128
1786250724,pg-cnpg-1,t,0/960271E0
1786250724,pg-cnpg-2,f,0/96027298
1786250724,pg-cnpg-3,t,0/96027298
1786250724,pg-cnpg-1,t,0/96027350
1786250724,pg-cnpg-2,f,0/96027408
1786250724,pg-cnpg-3,t,0/96027408
1786250725,pg-cnpg-1,t,0/960274C0
1786250725,pg-cnpg-2,f,0/960274C0
1786250725,pg-cnpg-3,t,0/96027578
1786250725,pg-cnpg-1,t,0/96027630
1786250725,pg-cnpg-2,f,0/96027630
1786250725,pg-cnpg-3,t,0/960276E8
1786250725,pg-cnpg-1,t,0/960277A0
1786250725,pg-cnpg-2,f,0/960277A0
1786250725,pg-cnpg-3,t,0/96027858
1786250725,pg-cnpg-1,t,0/96027910
1786250725,pg-cnpg-2,f,0/960279C8
1786250725,pg-cnpg-3,t,0/960279C8
1786250726,pg-cnpg-1,t,0/96027A80
1786250726,pg-cnpg-2,f,0/96027B38
1786250726,pg-cnpg-3,t,0/96027B38
1786250726,pg-cnpg-1,t,0/96027BF0
1786250726,pg-cnpg-2,f,0/96027CA8
1786250726,pg-cnpg-3,t,0/96027CA8
1786250726,pg-cnpg-1,t,0/96027D60
1786250726,pg-cnpg-2,f,0/96027E18
1786250726,pg-cnpg-3,t,0/96027E18
1786250727,pg-cnpg-1,t,0/96027F38
1786250727,pg-cnpg-2,f,0/96027FF0
1786250727,pg-cnpg-3,t,0/96027FF0
1786250727,pg-cnpg-1,t,0/960280C0
1786250727,pg-cnpg-2,f,0/96028178
1786250727,pg-cnpg-3,t,0/96028178
1786250727,pg-cnpg-1,t,0/960282E8
1786250727,pg-cnpg-2,f,0/960282E8
1786250727,pg-cnpg-3,t,0/960282E8
1786250728,pg-cnpg-1,t,0/960283A0
1786250728,pg-cnpg-2,f,0/960283A0
1786250728,pg-cnpg-3,t,0/96028458
1786250728,pg-cnpg-1,t,0/96028510
1786250728,pg-cnpg-2,f,0/96028510
1786250728,pg-cnpg-3,t,0/960285C8
1786250728,pg-cnpg-1,t,0/96028680
1786250728,pg-cnpg-2,f,0/96028738
